# Source: https://openaq.org/#/countries/IN?_k=lp8nnq
# EPA AirNow DOS
# http://airnow.gov/index.cfm?action=airnow.global_summary
location,parameter,utc,year,month,day,hour,value,unit,duration,qcname
US Diplomatic Post: New Delhi,pm25,1/1/2016 18:30:00,2016,1,1,18,374,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/1/2016 19:30:00,2016,1,1,19,384,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/1/2016 20:30:00,2016,1,1,20,387,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/2/2016 21:30:00,2016,1,2,21,404,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/2/2016 22:30:00,2016,1,2,22,390,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/2/2016 23:30:00,2016,1,2,23,351,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/3/2016 18:30:00,2016,1,3,18,374,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/3/2016 19:30:00,2016,1,3,19,384,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/3/2016 20:30:00,2016,1,3,20,387,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/3/2016 21:30:00,2016,1,3,21,404,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/3/2016 22:30:00,2016,1,3,22,390,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/3/2016 23:30:00,2016,1,3,23,351,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 0:30:00,2016,1,4,0,361,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 1:30:00,2016,1,4,1,362,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 2:30:00,2016,1,4,2,377,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 3:30:00,2016,1,4,3,439,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 4:30:00,2016,1,4,4,542,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 5:30:00,2016,1,4,5,463,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 6:30:00,2016,1,4,6,352,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 7:30:00,2016,1,4,7,409,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 8:30:00,2016,1,4,8,384,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 9:30:00,2016,1,4,9,367,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 10:30:00,2016,1,4,10,370,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 11:30:00,2016,1,4,11,358,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 12:30:00,2016,1,4,12,372,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 13:30:00,2016,1,4,13,421,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 14:30:00,2016,1,4,14,453,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 15:30:00,2016,1,4,15,462,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 16:30:00,2016,1,4,16,488,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 17:30:00,2016,1,4,17,492,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 18:30:00,2016,1,4,18,480,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 19:30:00,2016,1,4,19,-999,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 20:30:00,2016,1,4,20,-999,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 21:30:00,2016,1,4,21,415,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 22:30:00,2016,1,4,22,416,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/4/2016 23:30:00,2016,1,4,23,408,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 0:30:00,2016,1,5,0,390,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 1:30:00,2016,1,5,1,388,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 2:30:00,2016,1,5,2,424,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 3:30:00,2016,1,5,3,437,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 4:30:00,2016,1,5,4,457,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 5:30:00,2016,1,5,5,435,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 6:30:00,2016,1,5,6,322,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 7:30:00,2016,1,5,7,221,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 8:30:00,2016,1,5,8,143,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 9:30:00,2016,1,5,9,199,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 10:30:00,2016,1,5,10,209,µg/m³,,
US Diplomatic Post: New Delhi,pm25,1/5/2016 11:30:00,2016,1,5,11,258,µg/m³,,
