Year,All forcings,Human,Natural,Anthropogenic tropospheric aerosol,Greenhouse gases,Land use,Orbital changes,Ozone,Solar,Volcanic
1850,287.46765864405529,287.42899646851481,287.44664895365202,287.42589142037087,287.41700017257119,287.45035014417948,287.4429367835312,287.45064461263632,287.45035014417942,287.44664895365196
1851,287.51785254484412,287.43372458230135,287.46020060824037,287.44640211057515,287.39925963211624,287.39445273569697,287.45082489774614,287.40764583918701,287.43474404384506,287.45825930414105
1852,287.51755808853653,287.47382432347945,287.53064175533933,287.49865704588694,287.41560565178645,287.48275003635661,287.45311764945785,287.44746714152086,287.4663088858677,287.56054173558266
1853,287.47826225026012,287.45469507516759,287.5197316525431,287.41732520840299,287.43321690710439,287.50989353878686,287.46820509510354,287.47536642716148,287.45529639806517,287.53429937048628
1854,287.47757234104421,287.41780424486444,287.50781020773695,287.42454179849733,287.4205890751245,287.44577365389466,287.48659024925439,287.45419175999552,287.43623262970539,287.55244025878358
1855,287.49985280833067,287.40436005994388,287.49953317438082,287.47078216890151,287.41250204512471,287.45505136290546,287.45256937220785,287.45521455455702,287.42714304137269,287.48094623924669
1856,287.37220740464699,287.39245681402144,287.46571128755039,287.43494045837514,287.39390804237826,287.45838196674197,287.48600074109385,287.46499635109029,287.39924343346041,287.44046682224371
1857,287.2806216125457,287.40835660871909,287.27799676245633,287.47714794290368,287.41860569237122,287.42034296622268,287.45339032158165,287.44541833822097,287.46981008164295,287.35939586645497
1858,287.30278807112597,287.44340086908335,287.31857587900879,287.47087390394466,287.40209224317601,287.39663234111674,287.46290279268067,287.44659923406164,287.45264277556203,287.36250403330655
1859,287.4040799862459,287.37196662362248,287.34669707042656,287.4413521420596,287.3997061440715,287.44145630068294,287.46331376968487,287.4804297699983,287.46731023438224,287.43679247525972
1860,287.4932241340934,287.40544287849013,287.42288028938623,287.40559486452423,287.43772875892489,287.41444254870413,287.43068425507045,287.46760121952173,287.44807324674247,287.46433090236417
1861,287.49272614251799,287.40360557970155,287.41257268151628,287.40770268178767,287.43736025387159,287.43389956339405,287.45876888860522,287.44214439198532,287.47310848380454,287.50971766596916
1862,287.45947422361508,287.43392164631069,287.40011982731698,287.49655700947807,287.3899216427792,287.42876079166837,287.44703934809075,287.43182998366439,287.44575085600343,287.48148359700724
1863,287.47219072813067,287.39679748870304,287.45654434993185,287.38035287955415,287.4238093822629,287.44519783026271,287.47888219963244,287.49007754579389,287.41006421242002,287.42794953567795
1864,287.48806529347621,287.40564915746779,287.44294620376911,287.41557199814901,287.41789923887393,287.51338544619381,287.42125926869056,287.45820637871896,287.41160191386626,287.47957054329271
1865,287.5415844127719,287.42431776398632,287.4242749015296,287.42807143930196,287.40230485010204,287.4356595084995,287.43421945161953,287.46658474683153,287.418472962583,287.49993599389836
1866,287.5950701132835,287.45322278854582,287.4584389945561,287.42437868637876,287.41061988748413,287.48701831356561,287.42790347875996,287.46773182269646,287.4269236839952,287.49048835036297
1867,287.5437078887677,287.42339555238613,287.44307943794394,287.47237478957794,287.4122273822087,287.46056293998799,287.41003643944362,287.40876650613825,287.38246239682519,287.49585352997627
1868,287.48100331537961,287.4294245909158,287.48413995921283,287.44434881540565,287.40052931591441,287.40913643608758,287.43150676829998,287.40375459746195,287.37542970579261,287.52482676062033
1869,287.50736501431805,287.43757401449204,287.49356808829918,287.40257643801993,287.43541439410149,287.43421718053975,287.43451620977874,287.44130795028741,287.38944217870943,287.51009402633247
1870,287.51078404343571,287.43390469887055,287.46603517253044,287.39575126466957,287.4598338922205,287.43954007006806,287.42224962729995,287.49633208762106,287.43815215704376,287.49515908153182
