 SUMMARY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.ndp058.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1751   0.1      0.4       2.55
 1752   0.1      0.4       2.55
 1753   0.1      0.4       2.55
 1754   0.1      0.4       2.55
 1755   0.1      0.4       2.55
 1756   0.1      0.4       2.73
 1757   0.1      0.4       2.73
 1758   0.1      0.4       2.73
 1759   0.1      0.4       2.73
 1760   0.1      0.4       2.73
 1761   0.1      0.4       3.00
 1762   0.1      0.4       3.00
 1763   0.1      0.4       3.00
 1764   0.1      0.4       3.00
 1765   0.1      0.4       3.00
 1766   0.1      0.5       3.35
 1767   0.1      0.5       3.35
 1768   0.1      0.5       3.35
 1769   0.1      0.5       3.35
 1770   0.1      0.5       3.35
 1771   0.1      0.5       3.71
 1772   0.1      0.5       3.72
 1773   0.1      0.5       3.72
 1774   0.1      0.5       3.72
 1775   0.1      0.5       3.72
 1776   0.1      0.6       4.10
 1777   0.1      0.6       4.10
 1778   0.1      0.6       4.11
 1779   0.1      0.6       4.11
 1780   0.1      0.6       4.11
 1781   0.1      0.7       4.60
 1782   0.1      0.7       4.60
 1783   0.1      0.7       4.60
 1784   0.1      0.7       4.60
 1785   0.0      0.7       4.60
 1786   0.0      0.8       5.23
 1787   0.0      0.8       5.23
 1788   0.0      0.8       5.23
 1789   0.0      0.8       5.23
 1790   0.0      0.8       5.23
 1791   0.0      0.9       5.85
 1792   0.0      0.9       5.98
 1793   0.0      0.9       5.98
 1794   0.0      0.9       5.97
 1795   0.0      0.9       5.97
 1796   0.0      0.9       6.26
 1797   0.0      0.9       6.58
 1798   0.0      1.0       6.85
 1799   0.0      1.0       7.21
 1800   0.0      1.1       7.67
 1801   0.0      1.1       7.63
 1802   0.0      1.1      10.04
 1803   0.0      1.2       8.59
 1804   0.0      1.2       9.36
 1805   0.0      1.3       9.12
 1806   0.0      1.3       9.56
 1807   0.0      1.3      10.06
 1808   0.0      1.3       9.57
 1809   0.0      1.3       9.58
 1810   0.0      1.3      10.20
 1811   0.0      1.4      10.80
 1812   0.0      1.5      11.19
 1813   0.0      1.5      11.25
 1814   0.0      1.5      11.50
 1815   0.0      1.6      11.87
 1816   0.0      1.7      13.01
 1817   0.0      1.7      13.49
 1818   0.0      1.7      13.55
 1819   0.0      1.7      13.63
 1820   0.0      1.7      13.83
 1821   0.0      1.7      14.04
 1822   0.0      1.8      14.59
 1823   0.0      1.9      15.43
 1824   0.0      2.0      15.97
 1825   0.0      2.0      16.58
 1826   0.0      2.0      16.76
 1827   0.0      2.1      17.99
 1828   0.0      2.1      18.19
 1829   0.0      2.1      18.12
 1830   0.0      2.7      24.33
 1831   0.0      2.6      23.07
 1832   0.0      2.6      23.23
 1833   0.0      2.6      23.69
 1834   0.0      2.6      24.15
 1835   0.0      2.6      24.68
 1836   0.0      3.1      28.59
 1837   0.0      2.9      28.57
 1838   0.0      3.0      29.49
 1839   0.0      3.1      30.46
 1840   0.0      3.2      32.46
 1841   0.0      3.3      33.47
 1842   0.0      3.4      35.34
 1843   0.0      3.6      36.26
 1844   0.0      3.7      38.60
 1845   0.0      4.0      42.36
 1846   0.0      3.8      43.07
 1847   0.0      4.1      47.05
 1848   0.0      4.4      47.44
 1849   0.0      4.6      50.08
 1850   0.0      4.9      53.74
 1851   0.0      4.7      54.26
 1852   0.0      4.6      56.65
 1853   0.0      4.6      59.28
 1854   0.0      5.6      69.64
 1855   0.0      5.2      71.00
 1856   0.0      5.6      75.68
 1857   0.0      5.5      76.39
 1858   0.0      5.4      77.57
 1859   0.0      6.0      82.25
 1860   0.0      6.7      90.26
 1861   0.0      7.0      94.92
 1862   0.0      6.8      96.65
 1863   0.0      7.2     103.15
 1864   0.0      7.8     111.12
 1865   0.0      8.2     118.00
 1866   0.0      8.5     121.73
 1867   0.0      8.7     130.41
 1868   0.0      8.5     133.94
 1869   0.0      8.9     142.23
 1870   0.0      9.1     145.34
 1871   0.0      9.7     154.52
 1872   0.0     10.2     170.95
 1873   0.0     10.6     181.61
 1874   0.0     10.3     170.03
 1875   0.0     10.9     184.44
 1876   0.0     10.8     187.10
 1877   0.0     11.0     190.80
 1878   0.0     10.8     192.30
 1879   0.0     10.9     206.07
 1880   0.0     11.9     233.05
 1881   0.0     12.5     240.88
 1882   0.0     12.6     254.40
 1883   0.0     13.1     270.54
 1884   0.0     12.8     273.59
 1885   0.0     12.6     275.63
 1886   0.0     12.5     279.95
 1887   0.0     12.8     293.95
 1888   0.0     13.3     325.49
 1889   0.0     13.8     325.37
 1890   0.0     14.1     354.49
 1891   0.0     14.4     370.99
 1892   0.0     14.1     374.06
 1893   0.0     12.6     369.58
 1894   0.0     14.5     382.47
 1895   0.0     14.6     405.54
 1896   0.0     15.0     418.78
 1897   0.0     15.4     438.61
 1898   0.0     15.5     462.64
 1899   0.0     16.6     505.41
 1900   0.0     16.8     533.11
 1901   0.0     16.4     550.75
 1902   0.0     17.1     564.71
 1903   0.0     17.2     616.07
 1904   0.0     17.3     622.61
 1905   0.0     17.5     662.85
 1906   0.0     18.1     696.20
 1907   0.0     18.9     787.29
 1908   0.0     18.5     757.56
 1909   0.0     18.6     787.47
 1910   0.0     18.8     825.88
 1911   0.0     19.2     840.95
 1912   0.0     18.2     880.65
 1913   0.0     19.9     952.88
 1914   0.0     19.3     864.65
 1915   0.0     19.6     852.93
 1916   0.0     20.3     920.39
 1917   0.0     20.3     962.98
 1918   0.0     21.2     949.97
 1919   0.0     18.2     823.32
 1920   0.0     21.4     957.32
 1921   0.0     17.3     839.99
 1922   0.0     17.4     880.80
 1923   0.0     23.0     999.38
 1924   0.0     20.6    1002.63
 1925   0.0     21.2    1009.62
 1926   0.0     22.9     993.97
