Global Land and Ocean Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1880,-0.1148
1881,-0.0628
1882,-0.0648
1883,-0.1424
1884,-0.2009
1885,-0.2125
1886,-0.2003
1887,-0.2489
1888,-0.1471
1889,-0.0982
1890,-0.3220
1891,-0.2532
1892,-0.3062
1893,-0.3212
1894,-0.2808
1895,-0.2290
1896,-0.0974
1897,-0.1224
1898,-0.2546
1899,-0.1173
1900,-0.0679
1901,-0.1417
1902,-0.2463
1903,-0.3369
1904,-0.4194
1905,-0.2931
1906,-0.2174
1907,-0.3706
1908,-0.4396
1909,-0.4261
1910,-0.3789
1911,-0.4332
1912,-0.3288
1913,-0.3162
1914,-0.1395
1915,-0.0693
1916,-0.2930
1917,-0.3146
1918,-0.2084
1919,-0.2055
1920,-0.2105
1921,-0.1485
1922,-0.2304
1923,-0.2156
1924,-0.2486
1925,-0.1481
1926,-0.0667
1927,-0.1546
1928,-0.1774
1929,-0.2985
1930,-0.1003
1931,-0.0686
1932,-0.1168
1933,-0.2439
1934,-0.1015
1935,-0.1392
1936,-0.1134
1937,-0.0157
1938,-0.0288
1939,-0.0139
1940,0.0947
1941,0.1960
1942,0.1538
1943,0.1570
1944,0.2928
1945,0.1710
1946,-0.0040
1947,-0.0477
1948,-0.0487
1949,-0.0568
1950,-0.1616
1951,-0.0132
1952,0.0248
1953,0.0952
1954,-0.1165
1955,-0.1354
1956,-0.1990
1957,0.0488
1958,0.1095
1959,0.0596
1960,0.0204
1961,0.0775
1962,0.0888
1963,0.1068
1964,-0.1495
1965,-0.0780
1966,-0.0227
1967,-0.0131
1968,-0.0296
1969,0.0929
1970,0.0372
1971,-0.0783
1972,0.0264
1973,0.1641
1974,-0.0719
1975,0.0034
1976,-0.0792
1977,0.1978
1978,0.1123
1979,0.2273
1980,0.2637
1981,0.2999
1982,0.1815
1983,0.3411
1984,0.1490
1985,0.1342
1986,0.2296
1987,0.3696
1988,0.3757
1989,0.2970
1990,0.4328
1991,0.4055
1992,0.2571
1993,0.2853
1994,0.3409
1995,0.4577
1996,0.3228
1997,0.5187
1998,0.6344
1999,0.4438
2000,0.4262
2001,0.5473
2002,0.6023
2003,0.6134
2004,0.5783
2005,0.6585
2006,0.6125
2007,0.6100
2008,0.5419
2009,0.6367
2010,0.7014
2011,0.5788
2012,0.6240
2013,0.6679
2014,0.7408
2015,0.8998
2016,0.9363
