Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,0.0009
188002,-0.1229
188003,-0.1357
188004,-0.0499
188005,-0.0738
188006,-0.1692
188007,-0.1491
188008,-0.0725
188009,-0.0817
188010,-0.1786
188011,-0.2672
188012,-0.0775
188101,-0.0205
188102,-0.0296
188103,0.0348
188104,0.0734
188105,0.0284
188106,-0.0892
188107,-0.0329
188108,-0.0519
188109,-0.1824
188110,-0.2207
188111,-0.2194
188112,-0.0439
188201,0.0883
188202,0.0385
188203,0.0754
188204,-0.1241
188205,-0.1459
188206,-0.1391
188207,-0.0666
188208,-0.0037
188209,0.0077
188210,-0.2101
188211,-0.1279
188212,-0.1705
188301,-0.2707
188302,-0.2915
188303,-0.1326
188304,-0.1746
188305,-0.1455
188306,-0.0066
188307,-0.0849
188308,-0.0526
188309,-0.1467
188310,-0.1612
188311,-0.1683
188312,-0.0738
188401,-0.1843
188402,-0.1430
188403,-0.2061
188404,-0.1809
188405,-0.1282
188406,-0.1939
188407,-0.2985
188408,-0.2698
188409,-0.2238
188410,-0.1695
188411,-0.2692
188412,-0.1440
188501,-0.4267
188502,-0.2558
188503,-0.1473
188504,-0.2564
188505,-0.2787
188506,-0.3052
188507,-0.2375
188508,-0.2407
188509,-0.1963
188510,-0.1289
188511,-0.1262
188512,0.0500
188601,-0.1143
188602,-0.2795
188603,-0.2823
188604,-0.1679
188605,-0.1573
188606,-0.2468
188607,-0.1599
188608,-0.2146
188609,-0.1969
188610,-0.2261
188611,-0.1952
188612,-0.1630
188701,-0.3792
188702,-0.3745
188703,-0.1655
188704,-0.1899
188705,-0.2390
188706,-0.2149
188707,-0.2707
188708,-0.3148
188709,-0.1827
188710,-0.2995
188711,-0.1572
188712,-0.1988
188801,-0.3871
188802,-0.3288
188803,-0.2974
188804,-0.1761
188805,-0.1561
188806,-0.0943
188807,-0.1149
188808,-0.1633
188809,-0.0690
188810,0.0190
188811,-0.0418
188812,0.0445
188901,-0.0944
188902,0.0152
188903,0.1207
188904,0.0496
188905,-0.0326
188906,-0.0698
188907,-0.1604
188908,-0.1370
188909,-0.2264
188910,-0.1913
188911,-0.2769
188912,-0.1750
189001,-0.3594
189002,-0.4268
189003,-0.3189
189004,-0.2588
189005,-0.3892
189006,-0.2875
189007,-0.2802
189008,-0.3257
189009,-0.3508
189010,-0.2941
189011,-0.3419
189012,-0.2302
189101,-0.3772
189102,-0.5228
189103,-0.2120
189104,-0.2523
189105,-0.1374
189106,-0.2023
189107,-0.2264
189108,-0.2313
189109,-0.1514
189110,-0.2861
189111,-0.3968
189112,-0.0421
189201,-0.2372
189202,-0.1353
189203,-0.3032
189204,-0.3203
189205,-0.3081
189206,-0.2831
189207,-0.3497
189208,-0.3279
189209,-0.2198
189210,-0.2464
189211,-0.4728
189212,-0.4708
189301,-0.6796
189302,-0.6107
189303,-0.2218
189304,-0.3500
189305,-0.3421
189306,-0.2405
189307,-0.2018
189308,-0.3281
189309,-0.2587
189310,-0.2099
189311,-0.1657
189312,-0.2452
189401,-0.4360
189402,-0.2215
189403,-0.2064
189404,-0.3023
189405,-0.3018
189406,-0.3487
189407,-0.2738
189408,-0.2735
189409,-0.2531
189410,-0.2135
189411,-0.2979
189412,-0.2412
189501,-0.4389
189502,-0.4136
189503,-0.2879
189504,-0.1868
189505,-0.2076
189506,-0.2938
189507,-0.2010
189508,-0.2243
189509,-0.1329
189510,-0.1317
189511,-0.1602
189512,-0.0690
189601,-0.1056
189602,-0.0789
189603,-0.2079
189604,-0.2660
189605,-0.1042
189606,-0.0925
189607,-0.0509
189608,-0.0723
189609,-0.0679
189610,-0.0056
189611,-0.1659
189612,0.0490
189701,-0.1857
189702,-0.1086
189703,-0.1863
189704,-0.0032
189705,-0.0256
189706,-0.1000
189707,-0.0401
189708,-0.0735
189709,-0.0247
189710,-0.1608
189711,-0.2619
189712,-0.2989
189801,-0.0399
189802,-0.2785
189803,-0.6515
189804,-0.3467
189805,-0.2887
189806,-0.2078
189807,-0.2426
189808,-0.2306
189809,-0.1968
