Data filenames,Example,Description
BLS_2_Countries_(SRES)_ABBREVNAME,Australia,country name
Fips_code,AS,country code
WH_2000,"20,069,730",wheat production average 2000 to 2006 in t (FAO)
RI_2000,"891,259",rice production average 2000 to 2006 in t (FAO)
MZ_2000,"367,102",maize production average 2000 to 2006 in t (FAO)
WHA1F2020,2.668252046,wheat yield change (%) from baseline under the SRES A1FI 2020 scenario
RIA1F2020,0.542,rice yield change (%) from baseline under the SRES A1FI 2020 scenario
MZA1F2020,-0.331747954,maize yield change (%) from baseline under the SRES A1FI 2020 scenario
ActChWHA1F2020,535510.9928,wheat total production changes in 2020 applying the SRES A1FI 2020 scenario yield change to the 1990 production
ActChRIAIF2020,4830.621457,rice total production changes in 2020 applying the SRES A1FI 2020 scenario yield change to the 1990 production
ActChMZA1F2020,-1217.853848,maize total production changes in 2020 applying the SRES A1FI 2020 scenario yield change to the 1990 production
WHA1F2050,6.286352645,wheat yield change (%) from baseline under the SRES A1FI 2050 scenario
RIA1F2050,6.054,rice yield change (%) from baseline under the SRES A1FI 2050 scenario
MZA1F2050,-0.7136473553,maize yield change (%) from baseline under the SRES A1FI 2050 scenario
ActChWHA1F2050,1261654.03,wheat total production changes in 2050 applying the SRES A1FI scenario yield change to the 1990 production
ActChRIAIF2050,53956.79391,rice total production changes in 2050 applying the SRES A1FI scenario yield change to the 1990 production
ActChMZA1F2050,-2619.814734,maize  total production changes in 2050 applying the SRES A1FI  scenario yield change to the 1990 production
WHA1F2080,-0.4360714715,wheat yield change (%) from baseline under the SRES A1FI 2080 scenario
RIA1F2080,8.95,rice yield change (%) from baseline under the SRES A1FI 2080 scenario
MZA1F2080,-10.43607147,maize yield change (%) from baseline under the SRES A1FI 2080 scenario
ActChWHA1F2080,-87518.36881,wheat total production changes in 2080 applying the SRES A1FI scenario yield change to the 1990 production
ActChRIAIF2080,79767.64214,rice total production changes in 2080 applying the SRES A1FI scenario yield change to the 1990 production
ActChMZA1F2080,-38311.042,maize total production changes in 2080 applying the SRES A1FI scenario yield change to the 1990 production
WHA2a2020,1.490716931,wheat yield change (%) from baseline under the SRES A2a 2020 scenario
RIA2a2020,0.605,rice yield change (%) from baseline under the SRES A2a 2020 scenario
MZA2a2020,-1.509283069,maize yield change (%) from baseline under the SRES A2a 2020 scenario
ActChWHA2a2020,299182.8695,wheat total production changes in 2020 applying the SRES A2a 2020 scenario yield change to the 1990 production
ActChRIA2a2020,5392.114357,rice total production changes in 2020 applying the SRES A2a 2020 scenario yield change to the 1990 production
ActChMZA2a2020,-5540.610487,maize  total production changes in 2020 applying the SRES A2a 2020 scenario yield change to the 1990 production
WHA2a2050,10.21830026,wheat yield change (%) from baseline under the SRES A2a 2050 scenario
RIA2a2050,4.342,rice yield change (%) from baseline under the SRES A2a 2050 scenario
MZA2a2050,3.218300262,maize yield change (%) from baseline under the SRES A2a 2050 scenario
ActChWHA2a2050,2050785.317,wheat total production changes in 2050 applying the SRES A2a 2050 scenario yield change to the 1990 production
ActChRIA2a2050,38698.44717,rice total production changes in 2050 applying the SRES A2a 2050 scenario yield change to the 1990 production
ActChMZA2a2050,11814.44922,maize total production changes in 2050 applying the SRES A2a 2050 scenario yield change to the 1990 production
WHA2a2080,8.516207337,wheat yield change (%) from baseline under the SRES A2a 2080 scenario
RIA2a2080,10.645,rice yield change (%) from baseline under the SRES A2a 2080 scenario
MZA2a2080,-2.483792663,maize yield change (%) from baseline under the SRES A2a 2080 scenario
ActChWHA2a2080,1709179.855,wheat total production changes in 2080 applying the SRES A2a 2080 scenario yield change to the 1990 production
ActChRIA2a2080,94874.47493,rice total production changes in 2080 applying the SRES A2a 2080 scenario yield change to the 1990 production
ActChMZA2a2080,-9118.056092,maize total production changes in 2080 applying the SRES A2a 2080 scenario yield change to the 1990 production
WHA2b2020,3.098196577,wheat yield change (%) from baseline under the SRES A2b 2020 scenario
RIA2b2020,0.073,rice yield change (%) from baseline under the SRES A2b 2020 scenario
MZA2b2020,0.09819657711,maize yield change (%) from baseline under the SRES A2b 2020 scenario
ActCHWHA2b2020,621799.7012,wheat total production changes in 2020 applying the SRES A2b 2020 scenario yield change to the 1990 production
