Station,Period Start,Period End,Time of High Tide,Elevation (Meters) Above Datum,Tide Type,Duration (Hours)
8575512,1951-01-15 14:00,1951-01-15 18:00,1951-01-15 16:00,0.075,--,4.0
8575512,1951-02-01 17:00,1951-02-01 21:00,1951-02-01 19:00,0.044,--,4.0
8575512,1951-02-02 02:00,1951-02-02 02:00,1951-02-02 02:00,0.014,--,0.0
8575512,1951-02-02 04:00,1951-02-02 05:00,1951-02-02 05:00,0.044,--,1.0
8575512,1951-02-07 21:00,1951-02-07 22:00,1951-02-07 22:00,0.044,--,1.0
8575512,1951-02-21 20:00,1951-02-22 00:00,1951-02-21 22:00,0.105,--,4.0
8575512,1951-03-02 18:00,1951-03-02 18:00,1951-03-02 18:00,0.014,--,0.0
8575512,1951-03-04 16:00,1951-03-04 23:00,1951-03-04 20:00,0.227,--,7.0
8575512,1951-03-05 20:00,1951-03-05 22:00,1951-03-05 21:00,0.044,--,2.0
8575512,1951-03-13 09:00,1951-03-15 06:00,1951-03-14 15:00,0.593,--,45.0
8575512,1951-03-15 13:00,1951-03-15 16:00,1951-03-15 16:00,0.044,--,3.0
8575512,1951-03-20 03:00,1951-03-20 10:00,1951-03-20 08:00,0.197,--,7.0
8575512,1951-03-30 16:00,1951-03-30 18:00,1951-03-30 18:00,0.014,--,2.0
8575512,1951-03-31 03:00,1951-03-31 03:00,1951-03-31 03:00,0.014,--,0.0
8575512,1951-04-07 10:00,1951-04-07 12:00,1951-04-07 12:00,0.044,--,2.0
8575512,1951-04-08 12:00,1951-04-08 12:00,1951-04-08 12:00,0.014,--,0.0
8575512,1951-04-09 10:00,1951-04-09 15:00,1951-04-09 13:00,0.105,--,5.0
8575512,1951-04-10 11:00,1951-04-10 14:00,1951-04-10 13:00,0.075,--,3.0
8575512,1951-04-23 11:00,1951-04-23 11:00,1951-04-23 11:00,0.014,--,0.0
8575512,1951-05-05 07:00,1951-05-05 14:00,1951-05-05 10:00,0.197,--,7.0
8575512,1951-05-05 20:00,1951-05-05 21:00,1951-05-05 21:00,0.014,--,1.0
8575512,1951-05-06 09:00,1951-05-06 11:00,1951-05-06 11:00,0.044,--,2.0
8575512,1951-05-11 13:00,1951-05-11 15:00,1951-05-11 15:00,0.014,--,2.0
8575512,1951-05-19 07:00,1951-05-19 10:00,1951-05-19 08:00,0.075,--,3.0
8575512,1951-05-20 07:00,1951-05-20 10:00,1951-05-20 09:00,0.105,--,3.0
8575512,1951-05-22 10:00,1951-05-22 12:00,1951-05-22 12:00,0.014,--,2.0
8575512,1951-05-23 10:00,1951-05-23 14:00,1951-05-23 12:00,0.105,--,4.0
8575512,1951-05-25 12:00,1951-05-25 15:00,1951-05-25 14:00,0.075,--,3.0
8575512,1951-05-26 14:00,1951-05-26 15:00,1951-05-26 15:00,0.014,--,1.0
8575512,1951-05-27 15:00,1951-05-27 17:00,1951-05-27 17:00,0.014,--,2.0
8575512,1951-05-28 16:00,1951-05-28 18:00,1951-05-28 17:00,0.044,--,2.0
8575512,1951-05-29 03:00,1951-05-29 05:00,1951-05-29 05:00,0.014,--,2.0
8575512,1951-06-07 10:00,1951-06-07 13:00,1951-06-07 12:00,0.075,--,3.0
8575512,1951-06-08 12:00,1951-06-08 13:00,1951-06-08 13:00,0.014,--,1.0
