Global Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,0.0261
188002,-0.0366
188003,-0.0060
188004,0.0096
188005,-0.0535
188006,-0.1523
188007,-0.1113
188008,-0.0227
188009,-0.0123
188010,-0.0725
188011,-0.1002
188012,0.0066
188101,0.0650
188102,0.0632
188103,0.0889
188104,0.1045
188105,0.0371
188106,0.0362
188107,0.0450
188108,-0.0317
188109,-0.0759
188110,-0.0794
188111,-0.0331
188112,0.0103
188201,0.0904
188202,0.0848
188203,0.0679
188204,0.0091
188205,-0.0636
188206,-0.0427
188207,0.0523
188208,0.0036
188209,0.0554
188210,-0.0372
188211,-0.0464
188212,-0.0480
188301,-0.0155
188302,0.0089
188303,-0.0389
188304,-0.0603
188305,-0.0606
188306,0.0005
188307,-0.0191
188308,0.0057
188309,-0.0600
188310,-0.0565
188311,-0.0282
188312,-0.0592
188401,-0.1324
188402,-0.0071
188403,-0.0367
188404,-0.0575
188405,-0.0460
188406,-0.1416
188407,-0.2044
188408,-0.1676
188409,-0.1199
188410,-0.1037
188411,-0.1718
188412,-0.1292
188501,-0.1975
188502,-0.1394
188503,-0.1272
188504,-0.1937
188505,-0.2160
188506,-0.2378
188507,-0.1688
188508,-0.1493
188509,-0.1549
188510,-0.0811
188511,-0.1111
188512,-0.0325
188601,-0.0401
188602,-0.1177
188603,-0.1588
188604,-0.1348
188605,-0.1059
188606,-0.1771
188607,-0.1521
188608,-0.1986
188609,-0.1590
188610,-0.1278
188611,-0.0863
188612,-0.2225
188701,-0.2207
188702,-0.2451
188703,-0.1609
188704,-0.1760
188705,-0.2658
188706,-0.1625
188707,-0.2355
188708,-0.2203
188709,-0.1941
188710,-0.2087
188711,-0.1700
188712,-0.2035
188801,-0.2177
188802,-0.2060
188803,-0.1926
188804,-0.1819
188805,-0.0822
188806,-0.0417
188807,-0.0862
188808,-0.0717
188809,-0.0159
188810,0.0855
188811,0.0759
188812,0.0990
188901,0.0916
188902,0.0452
188903,0.0885
188904,-0.0161
188905,0.0166
188906,-0.0441
188907,-0.1182
188908,-0.1224
188909,-0.1729
188910,-0.1088
188911,-0.0777
188912,-0.1156
189001,-0.2255
189002,-0.2783
189003,-0.2457
189004,-0.2670
189005,-0.2973
189006,-0.2722
189007,-0.3134
189008,-0.3196
189009,-0.3576
189010,-0.3174
189011,-0.2208
189012,-0.1898
189101,-0.2274
189102,-0.2115
189103,-0.1327
189104,-0.1260
189105,-0.0622
189106,-0.0927
189107,-0.1443
189108,-0.1564
189109,-0.1362
189110,-0.1678
189111,-0.2211
189112,-0.1127
189201,-0.0842
189202,-0.0661
189203,-0.1545
189204,-0.1904
189205,-0.2331
189206,-0.2861
189207,-0.3560
189208,-0.3500
189209,-0.2659
189210,-0.2903
189211,-0.2625
189212,-0.3062
189301,-0.1937
189302,-0.2490
189303,-0.2337
189304,-0.3204
189305,-0.2460
189306,-0.2141
189307,-0.2114
189308,-0.2877
189309,-0.2549
189310,-0.1996
189311,-0.1895
189312,-0.2415
189401,-0.2900
189402,-0.2805
189403,-0.2891
189404,-0.2495
189405,-0.3283
189406,-0.3098
189407,-0.2619
189408,-0.2571
189409,-0.2022
189410,-0.1838
189411,-0.2061
189412,-0.2079
189501,-0.1362
189502,-0.1581
189503,-0.2647
189504,-0.2295
189505,-0.1976
189506,-0.2442
189507,-0.1662
189508,-0.1666
189509,-0.1213
189510,-0.0845
189511,-0.0990
189512,-0.0544
189601,-0.0895
189602,-0.0773
189603,-0.0807
189604,-0.1003
189605,-0.0902
189606,-0.0559
189607,-0.0020
189608,-0.0280
189609,0.0185
189610,-0.0194
189611,0.0564
189612,0.1099
189701,-0.0059
189702,0.0403
189703,0.1047
189704,0.0004
189705,-0.0427
189706,-0.0592
189707,-0.0579
189708,-0.0370
189709,-0.0841
189710,-0.1359
189711,-0.1890
189712,-0.2059
189801,-0.1414
189802,-0.2247
189803,-0.3140
189804,-0.3133
189805,-0.2373
189806,-0.2072
189807,-0.1932
189808,-0.2261
189809,-0.1851
189810,-0.2335
189811,-0.2169
189812,-0.1210
189901,-0.1308
189902,-0.1737
189903,-0.1648
