#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.94 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2
1992.9614,-21.36000,,
1992.9865,-19.33000,,
1993.0123,-14.30000,,
1993.0407,-18.96000,,
1993.0660,-23.30000,,
1993.0974,-26.65000,,
1993.1206,-23.33000,,
1993.1493,-17.69000,,
1993.1765,-15.94000,,
1993.2037,-15.11000,,
1993.2307,-18.95000,,
1993.2851,-20.82000,,
1993.3123,-13.69000,,
1993.3394,-14.30000,,
1993.3665,-12.27000,,
1993.3937,-18.33000,,
1993.4208,-20.63000,,
1993.4480,-18.13000,,
1993.4751,-15.18000,,
1993.5021,-10.85000,,
1993.5294,-11.87000,,
1993.5837,-21.19000,,
1993.6117,-18.49000,,
1993.6381,-14.87000,,
1993.6652,-11.76000,,
1993.6923,-14.84000,,
1993.7189,-20.87000,,
1993.7466,-21.45000,,
1993.7738,-17.21000,,
1993.8009,-15.22000,,
1993.8553,-15.59000,,
1993.8824,-20.08000,,
1993.9098,-21.45000,,
1993.9367,-19.62000,,
1993.9639,-9.64000,,
1993.9907,-7.73000,,
1994.0181,-16.04000,,
1994.0452,-16.17000,,
1994.0723,-17.39000,,
1994.0995,-19.60000,,
1994.1267,-18.22000,,
1994.1539,-14.84000,,
1994.1809,-12.82000,,
1994.2353,-16.74000,,
1994.2624,-14.69000,,
1994.2896,-10.90000,,
1994.3168,-9.66000,,
1994.3439,-14.27000,,
1994.3710,-19.33000,,
1994.3982,-21.89000,,
1994.4253,-17.90000,,
1994.4524,-13.02000,,
1994.5067,-17.22000,,
1994.5339,-18.28000,,
1994.5610,-19.31000,,
1994.5882,-17.88000,,
1994.6154,-15.87000,,
1994.6425,-13.61000,,
1994.6697,-18.11000,,
1994.6968,-18.37000,,
1994.7239,-21.00000,,
1994.7510,-20.41000,,
1994.7782,-17.12000,,
1994.8054,-11.67000,,
1994.8325,-15.64000,,
1994.8868,-21.95000,,
1994.9140,-23.19000,,
1994.9412,-14.12000,,
1994.9684,-11.62000,,
1994.9955,-14.60000,,
1995.0226,-16.73000,,
1995.0497,-18.60000,,
1995.0769,-12.04000,,
1995.1040,-12.09000,,
1995.1312,-15.05000,,
1995.1583,-14.49000,,
1995.2127,-12.49000,,
1995.2398,-16.13000,,
1995.2669,-11.18000,,
1995.2941,-10.08000,,
1995.3212,-13.23000,,
1995.3755,-18.59000,,
1995.4028,-13.35000,,
1995.4298,-9.18000,,
1995.4569,-12.63000,,
1995.4841,-16.95000,,
1995.5384,-19.40000,,
1995.5655,-15.47000,,
1995.5927,-13.88000,,
1995.6199,-12.50000,,
1995.6470,-17.75000,,
1995.6740,-18.55000,,
1995.7013,-16.50000,,
1995.7285,-9.91000,,
1995.7556,-11.57000,,
1995.7827,-12.92000,,
1995.8371,-18.71000,,
1995.8643,-16.53000,,
1995.8899,-12.66000,,
1995.9456,-10.81000,,
1995.9728,-11.40000,,
1995.9998,-16.29000,,
1996.0270,-19.24000,,
1996.0533,-16.46000,,
1996.0814,-9.30000,,
1996.1084,-7.69000,,
1996.1631,-13.45000,,
1996.1899,-16.77000,,
1996.2171,-11.88000,,
1996.2442,-7.53000,,
1996.2714,-10.77000,,
1996.2985,-13.46000,,
1996.3257,-13.90000,,
1996.3529,-11.99000,,
1996.3800,-7.95000,,
1996.4071,-7.02000,,
1996.4342,-9.26000,,
1996.4886,-12.09000,,
1996.5157,-11.18000,,
1996.5429,-6.03000,,
1996.5700,-3.44000,,
1996.5972,-7.29000,,
1996.6244,-13.64000,,
1996.6515,-15.60000,,
1996.6786,-15.10000,,
1996.7053,-9.91000,,
1996.7335,-6.13000,,
1996.7600,-4.02000,,
1996.8144,0.06000,,
1996.8415,2.33000,,
1996.8687,-1.73000,,
1996.8959,-7.86000,,
1996.9230,-10.62000,,
1996.9501,-13.40000,,
1996.9770,-15.80000,,
1997.0044,-14.07000,,
1997.0316,-7.94000,,
1997.0587,-8.66000,,
1997.0858,-10.27000,,
1997.1402,-13.01000,,
1997.1673,-10.91000,,
1997.1944,-8.75000,,
1997.2216,-6.27000,,
1997.2487,-9.12000,,
1997.2759,-12.05000,,
1997.3030,-14.84000,,
1997.3302,-10.77000,,
1997.3573,-3.85000,,
1997.3844,-6.51000,,
1997.4116,-6.19000,,
1997.4659,-8.44000,,
1997.4928,-4.83000,,
1997.5202,-1.67000,,
1997.5474,2.44000,,
1997.5745,-2.81000,,
1997.6288,-6.37000,,
1997.6560,-1.75000,,
1997.6830,0.56000,,
1997.7103,1.54000,,
1997.7374,-0.89000,,
1997.7917,-5.19000,,
1997.8189,-2.35000,,
1997.8460,1.78000,,
1997.8731,-2.83000,,
1997.9001,-7.01000,,
1997.9274,-9.63000,,
1997.9546,-9.59000,,
1997.9817,-4.47000,,
1998.0083,-2.59000,,
1998.0360,-0.25000,,
1998.0903,-5.94000,,
1998.1174,-4.90000,,
1998.1446,-2.15000,,
1998.1717,-0.18000,,
1998.1989,0.57000,,
1998.2261,-3.16000,,
1998.2532,-5.81000,,
1998.2792,-3.14000,,
1998.3075,0.58000,,
1998.3347,2.66000,,
1998.3617,-0.81000,,
1998.4158,-7.06000,,
1998.4432,-4.84000,,
1998.4704,-0.86000,,
1998.4976,3.91000,,
1998.5247,2.24000,,
1998.5518,-3.60000,,
1998.6062,-5.62000,,
1998.6333,-2.31000,,
1998.6604,1.61000,,
1998.6876,-1.88000,,
1998.7147,-6.77000,,
1998.7419,-7.17000,,
1998.7689,-6.28000,,
1998.8234,2.54000,,
1998.8505,-0.77000,,
1998.8775,-5.32000,,
1998.9046,-11.55000,,
1998.9319,-3.64000,,
1998.9591,-0.07000,,
1998.9862,3.25000,,
1999.0133,0.04000,,
1999.0405,-1.57000,,
1999.0948,-2.82000,,
1999.1256,3.56000,,
1999.1491,1.31000,,
1999.1763,-1.94000,,
1999.2034,-8.01000,,
1999.2306,-6.85000,,
1999.2577,-4.10000,,
1999.2848,-3.02000,,
1999.3392,-3.80000,,
1999.3663,-9.37000,,
1999.3933,-10.83000,,
1999.4206,-3.93000,,
1999.4478,-5.03000,,
1999.4749,-1.18000,,
1999.5020,-1.35000,,
1999.5292,-4.87000,,
1999.5566,-5.65000,,
1999.5834,-3.08000,,
1999.6106,-2.23000,,
1999.6377,2.35000,,
1999.6920,-7.72000,,
1999.7192,-4.19000,,
1999.7462,-3.54000,,
1999.7735,4.89000,,
1999.8008,2.78000,,
1999.8278,-2.35000,,
1999.8550,-8.20000,,
1999.8822,-8.29000,,
1999.9092,-4.48000,,
1999.9636,4.65000,,
1999.9907,3.87000,,
2000.0178,-3.85000,,
2000.0450,-3.18000,,
2000.0721,4.71000,,
2000.0993,2.60000,,
2000.1264,1.57000,,
2000.1536,0.36000,,
2000.1807,-5.42000,,
2000.2078,-5.40000,,
2000.2350,3.76000,,
2000.2894,1.70000,,
2000.3165,-3.16000,,
2000.3436,-8.17000,,
2000.3707,-6.43000,,
2000.3978,-1.19000,,
2000.4250,3.50000,,
2000.4522,1.58000,,
2000.4794,-3.11000,,
2000.5065,-4.82000,,
2000.5337,-0.28000,,
2000.5879,-0.37000,,
2000.6149,2.25000,,
2000.6423,-1.90000,,
2000.6694,-9.19000,,
2000.6965,-6.36000,,
2000.7235,2.51000,,
2000.7509,7.49000,,
2000.7780,5.48000,,
2000.8051,-2.97000,,
2000.8595,-1.22000,,
