#title = mean sea level anomaly global ocean (Annual signals retained)
#institution = NOAA/Laboratory for Satellite Altimetry
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/)
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.'
#trend = 2.94 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2
1992.9614,-17.82000,,
1992.9865,-17.02000,,
1993.0123,-13.22000,,
1993.0407,-19.12000,,
1993.0660,-24.42000,,
1993.0974,-28.72000,,
1993.1206,-25.92000,,
1993.1493,-20.72000,,
1993.1765,-19.22000,,
1993.2037,-18.52000,,
1993.2307,-22.42000,,
1993.2851,-24.42000,,
1993.3123,-17.42000,,
1993.3394,-18.22000,,
1993.3665,-16.42000,,
1993.3937,-22.72000,,
1993.4208,-25.22000,,
1993.4480,-22.82000,,
1993.4751,-19.82000,,
1993.5021,-15.22000,,
1993.5294,-15.72000,,
1993.5837,-23.22000,,
1993.6117,-19.22000,,
1993.6381,-14.22000,,
1993.6652,-9.62000,,
1993.6923,-11.22000,,
1993.7189,-15.92000,,
1993.7466,-15.32000,,
1993.7738,-10.22000,,
1993.8009,-7.72000,,
1993.8553,-8.22000,,
1993.8824,-13.32000,,
1993.9098,-15.62000,,
1993.9367,-14.92000,,
1993.9639,-6.22000,,
1993.9907,-5.62000,,
1994.0181,-15.22000,,
1994.0452,-16.52000,,
1994.0723,-18.72000,,
1994.0995,-21.72000,,
1994.1267,-20.92000,,
1994.1539,-17.92000,,
1994.1809,-16.12000,,
1994.2353,-20.22000,,
1994.2624,-18.22000,,
1994.2896,-14.52000,,
1994.3168,-13.42000,,
1994.3439,-18.22000,,
1994.3710,-23.52000,,
1994.3982,-26.32000,,
1994.4253,-22.52000,,
1994.4524,-17.72000,,
1994.5067,-21.52000,,
1994.5339,-22.02000,,
1994.5610,-22.22000,,
1994.5882,-19.72000,,
1994.6154,-16.42000,,
1994.6425,-12.72000,,
1994.6697,-15.72000,,
1994.6968,-14.52000,,
1994.7239,-15.82000,,
1994.7510,-14.12000,,
1994.7782,-10.02000,,
1994.8054,-4.12000,,
1994.8325,-8.02000,,
1994.8868,-15.32000,,
1994.9140,-17.52000,,
1994.9412,-9.62000,,
1994.9684,-8.42000,,
1994.9955,-12.72000,,
1995.0226,-16.12000,,
1995.0497,-19.12000,,
1995.0769,-13.52000,,
1995.1040,-14.32000,,
1995.1312,-17.82000,,
1995.1583,-17.62000,,
1995.2127,-15.92000,,
1995.2398,-19.62000,,
1995.2669,-14.72000,,
1995.2941,-13.72000,,
1995.3212,-17.02000,,
1995.3755,-22.82000,,
1995.4028,-17.82000,,
1995.4298,-13.82000,,
1995.4569,-17.32000,,
1995.4841,-21.52000,,
1995.5384,-23.02000,,
1995.5655,-18.22000,,
1995.5927,-15.52000,,
1995.6199,-12.82000,,
1995.6470,-16.62000,,
1995.6740,-15.92000,,
1995.7013,-12.42000,,
1995.7285,-4.52000,,
1995.7556,-5.12000,,
1995.7827,-5.72000,,
1995.8371,-11.12000,,
1995.8643,-9.32000,,
1995.8899,-6.12000,,
1995.9456,-6.52000,,
1995.9728,-8.42000,,
1995.9998,-14.62000,,
1996.0270,-18.82000,,
1996.0533,-17.12000,,
1996.0814,-10.92000,,
1996.1084,-10.02000,,
1996.1631,-16.62000,,
1996.1899,-20.12000,,
1996.2171,-15.32000,,
1996.2442,-11.02000,,
1996.2714,-14.32000,,
1996.2985,-17.12000,,
1996.3257,-17.72000,,
1996.3529,-16.02000,,
1996.3800,-12.22000,,
1996.4071,-11.52000,,
1996.4342,-13.92000,,
1996.4886,-16.62000,,
1996.5157,-15.32000,,
1996.5429,-9.52000,,
1996.5700,-6.02000,,
1996.5972,-8.72000,,
1996.6244,-13.72000,,
1996.6515,-14.22000,,
1996.6786,-12.22000,,
1996.7053,-5.62000,,
1996.7335,-0.52000,,
1996.7600,2.58000,,
1996.8144,7.68000,,
1996.8415,9.88000,,
1996.8687,5.38000,,
1996.8959,-1.52000,,
1996.9230,-5.32000,,
1996.9501,-9.32000,,
1996.9770,-13.02000,,
1997.0044,-12.62000,,
1997.0316,-7.72000,,
1997.0587,-9.52000,,
1997.0858,-12.02000,,
1997.1402,-15.92000,,
1997.1673,-14.12000,,
1997.1944,-12.12000,,
1997.2216,-9.72000,,
1997.2487,-12.62000,,
1997.2759,-15.62000,,
1997.3030,-18.52000,,
1997.3302,-14.62000,,
1997.3573,-7.92000,,
1997.3844,-10.82000,,
1997.4116,-10.72000,,
1997.4659,-13.12000,,
1997.4928,-9.32000,,
1997.5202,-5.72000,,
1997.5474,-0.92000,,
1997.5745,-5.22000,,
1997.6288,-6.22000,,
1997.6560,-0.12000,,
1997.6830,3.68000,,
1997.7103,6.08000,,
1997.7374,4.88000,,
1997.7917,2.18000,,
1997.8189,5.28000,,
1997.8460,9.28000,,
1997.8731,4.18000,,
1997.9001,-0.82000,,
1997.9274,-4.52000,,
1997.9546,-5.72000,,
1997.9817,-1.92000,,
1998.0083,-1.32000,,
1998.0360,-0.22000,,
1998.0903,-7.82000,,
1998.1174,-7.42000,,
1998.1446,-5.12000,,
1998.1717,-3.42000,,
1998.1989,-2.82000,,
1998.2261,-6.62000,,
1998.2532,-9.32000,,
1998.2792,-6.72000,,
1998.3075,-3.12000,,
1998.3347,-1.22000,,
1998.3617,-4.92000,,
1998.4158,-11.62000,,
1998.4432,-9.52000,,
1998.4704,-5.52000,,
1998.4976,-0.52000,,
1998.5247,-1.72000,,
1998.5518,-6.82000,,
1998.6062,-6.62000,,
1998.6333,-1.92000,,
1998.6604,3.48000,,
1998.6876,1.48000,,
1998.7147,-2.02000,,
1998.7419,-1.22000,,
1998.7689,0.58000,,
1998.8234,10.18000,,
1998.8505,6.68000,,
1998.8775,1.58000,,
1998.9046,-5.52000,,
1998.9319,1.28000,,
1998.9591,3.58000,,
1998.9862,5.58000,,
1999.0133,1.08000,,
1999.0405,-1.72000,,
1999.0948,-4.82000,,
1999.1256,0.88000,,
1999.1491,-1.72000,,
1999.1763,-5.22000,,
1999.2034,-11.42000,,
1999.2306,-10.32000,,
1999.2577,-7.62000,,
1999.2848,-6.62000,,
1999.3392,-7.72000,,
1999.3663,-13.52000,,
1999.3933,-15.22000,,
1999.4206,-8.52000,,
1999.4478,-9.72000,,
1999.4749,-5.82000,,
1999.5020,-5.72000,,
1999.5292,-8.72000,,
1999.5566,-8.72000,,
1999.5834,-5.12000,,
1999.6106,-3.02000,,
1999.6377,2.98000,,
1999.6920,-4.12000,,
1999.7192,0.78000,,
1999.7462,2.58000,,
1999.7735,11.88000,,
1999.8008,10.28000,,
1999.8278,5.28000,,
1999.8550,-0.82000,,
1999.8822,-1.52000,,
1999.9092,1.38000,,
1999.9636,8.08000,,
1999.9907,5.98000,,
2000.0178,-3.02000,,
2000.0450,-3.52000,,
2000.0721,3.38000,,
2000.0993,0.48000,,
2000.1264,-1.12000,,
2000.1536,-2.72000,,
2000.1807,-8.72000,,
2000.2078,-8.82000,,
2000.2350,0.28000,,
2000.2894,-1.92000,,
2000.3165,-6.92000,,
2000.3436,-12.12000,,
2000.3707,-10.62000,,
2000.3978,-5.62000,,
2000.4250,-1.12000,,
2000.4522,-3.12000,,
2000.4794,-7.72000,,
2000.5065,-9.12000,,
2000.5337,-4.02000,,
2000.5879,-2.22000,,
2000.6149,1.68000,,
2000.6423,-1.02000,,
2000.6694,-6.82000,,
2000.6965,-2.52000,,
2000.7235,7.68000,,
2000.7509,13.78000,,
2000.7780,12.58000,,
2000.8051,4.58000,,
2000.8595,6.08000,,
2000.8860,8.78000,,
2000.9145,12.58000,,
2000.9409,8.38000,,
2000.9681,3.68000,,
2000.9952,3.08000,,
2001.0222,1.88000,,
2001.0766,5.58000,,
2001.1038,1.98000,,
2001.1309,-5.02000,,
2001.1581,-4.62000,,
2001.1852,0.58000,,
2001.2124,1.38000,,
2001.2395,3.48000,,
2001.2666,0.08000,,
2001.2937,-1.62000,,
2001.3210,-5.32000,,
2001.3482,-3.32000,,
2001.3752,2.78000,,
2001.4024,1.68000,,
2001.4296,0.88000,,
2001.4567,-5.52000,,
2001.4840,-1.82000,,
2001.5110,3.98000,,
2001.5381,7.98000,,
2001.5653,4.18000,,
2001.5924,7.28000,,
2001.6195,0.38000,,
2001.6468,0.08000,,
2001.6738,5.38000,,
2001.7010,16.48000,,
2001.7283,18.48000,,
2001.7553,15.78000,,
2001.7825,6.78000,,
2001.8096,5.08000,,
2001.8368,11.78000,,
2001.8639,17.88000,,
2001.8918,17.28000,,
2001.9182,13.08000,,
2001.9454,5.08000,,
2001.9725,4.68000,,
2001.9996,11.38000,,
2002.0270,8.98000,,
2002.0537,,2.59000,
2002.0540,7.68000,,
2002.0811,5.28000,,
2002.0819,,7.39000,
2002.1083,0.18000,7.89000,
2002.1352,,6.99000,
2002.1354,0.88000,,
2002.1626,4.58000,4.99000,
2002.1897,6.68000,,
2002.1898,,0.89000,
2002.2168,6.78000,,
2002.2169,,2.39000,
2002.2438,,-0.01000,
2002.2440,0.58000,,
2002.2711,-0.92000,,
2002.2713,,5.39000,
2002.2983,,1.59000,
2002.2988,-3.72000,,
2002.3254,3.68000,3.49000,
2002.3525,,1.79000,
2002.3527,6.48000,,
2002.3797,5.18000,3.19000,
2002.4069,4.48000,3.39000,
2002.4340,-3.02000,-0.21000,
2002.4611,-1.12000,0.79000,
2002.4883,10.78000,5.69000,
2002.5155,,4.89000,
2002.5426,7.78000,6.69000,
2002.5697,5.18000,9.19000,
2002.5969,2.28000,11.29000,
2002.6239,7.28000,,
2002.6240,,13.29000,
2002.6512,,11.39000,
2002.6551,14.78000,,
2002.6783,15.18000,,
2002.6784,,10.29000,
2002.7055,,13.09000,
2002.7064,17.68000,,
2002.7326,12.88000,,
2002.7327,,16.09000,
2002.7598,,13.59000,
2002.7599,5.28000,,
