lng,lat,avg_kwh_m2_day
-96,28,4.722
-96,29,4.663
-118,39,5.19
-118,38,5.341
-118,35,5.468
-118,34,5.362
-118,37,5.414
-118,36,5.34
-118,33,5.198
-100,45,4.015
-102,33,5.407
-107,48,3.857
-98,27,4.933
-90,30,4.664
-107,44,4.164
-107,45,4.068
-107,46,4.069
-107,47,4.007
-107,40,4.548
-100,47,3.768
-107,42,4.553
-107,43,4.493
-82,36,4.193
-82,37,4.024
-82,34,4.583
-82,35,4.398
-82,32,4.7
-82,33,4.62
-82,30,4.759
-82,31,4.732
-103,48,3.736
-100,41,4.461
-82,38,4.016
-82,39,3.949
-90,37,4.28
-135,59,0.0
-109,41,4.665
-90,36,4.383
-158,64,0.0
-154,66,0.0
-114,40,4.857
-96,31,4.692
-101,38,4.922
-141,65,0.0
-110,36,5.475
-101,31,5.363
-98,26,5.037
-101,30,5.4
-114,42,4.665
-86,38,4.128
-86,39,4.026
-146,64,0.0
-86,32,4.611
-86,33,4.473
-86,30,4.772
-86,31,4.678
-86,36,4.231
-86,37,4.185
-86,34,4.384
-86,35,4.285
-117,46,4.055
-146,61,0.0
-98,28,4.841
-114,43,4.533
-158,21,5.357
-105,46,4.035
-105,47,3.934
-105,44,4.229
-105,45,4.138
-105,42,4.388
-105,43,4.347
-105,40,4.422
-105,41,4.352
-146,62,0.0
-122,40,4.888
-105,48,3.786
-107,41,4.504
-114,44,4.271
-69,45,3.603
-103,40,4.766
-102,38,5.037
-103,41,4.588
-102,36,5.268
-102,37,5.157
-102,34,5.37
-102,35,5.284
-102,32,5.453
-103,42,4.499
-102,30,5.505
-102,31,5.518
-158,62,0.0
-103,43,4.389
-154,63,0.0
-103,44,4.262
-103,45,4.153
-88,41,3.894
-88,40,4.022
-88,43,3.789
-88,42,3.84
-88,45,3.739
-88,44,3.762
-88,47,3.626
-88,46,3.642
-103,47,3.904
-108,36,5.441
-154,60,0.0
-108,37,5.2
-94,30,4.561
-97,48,3.598
-119,33,5.042
-97,41,4.225
-97,40,4.347
-97,43,4.048
-97,42,4.116
