lng,lat,wind_class_50m
-96,28,2
-96,29,1
-82,34,2
-118,39,3
-118,38,3
-93,43,3
-118,35,3
-118,34,4
-118,37,3
-118,36,3
-118,33,2
-96,27,2
-90,31,1
-107,48,3
-107,49,1
-124,45,3
-107,44,4
-107,45,3
-107,46,3
-107,47,4
-107,40,3
-107,41,4
-107,42,5
-107,43,4
-82,36,3
-82,37,2
-119,45,3
-119,44,3
-119,43,2
-103,45,4
-119,41,3
-119,40,3
-103,48,4
-90,35,1
-82,38,2
-82,39,2
-123,40,3
-83,28,3
-83,29,2
-90,30,1
-114,40,3
-96,31,1
-96,30,1
-96,26,4
-103,40,3
-118,32,2
-114,41,3
-80,35,2
-96,39,3
-98,26,1
-101,30,2
-98,27,1
-114,42,3
-86,29,4
-86,38,2
-86,39,2
-86,32,1
-86,33,2
-86,30,2
-86,31,1
-86,36,2
-86,37,2
-86,34,2
-86,35,2
-117,46,3
-82,35,3
-98,28,1
-105,46,3
-105,47,4
-105,44,3
-105,45,3
-105,42,5
-105,43,4
-105,40,4
-105,41,5
-105,48,3
-105,49,1
-90,34,1
-72,41,2
-69,45,3
-119,47,2
-102,38,3
-102,39,3
-102,36,3
-102,37,4
-102,34,3
-102,35,3
-102,32,2
-102,33,2
-102,30,3
-102,31,4
-103,43,4
-90,37,2
-89,48,3
-93,48,1
-103,44,4
-119,42,3
-88,41,3
-88,40,3
-88,43,2
-88,42,2
-88,45,2
-88,44,2
-88,47,3
-88,46,2
-88,48,3
-103,47,4
-78,39,3
-90,36,1
-78,38,3
-94,30,1
-97,48,5
-97,41,3
-97,40,3
-97,43,4
-97,42,3
-97,45,4
-97,44,4
-97,47,4
-97,46,3
-93,46,2
-119,49,4
-119,48,3
-79,37,3
-79,41,2
-79,40,2
-99,27,1
-79,42,3
-99,29,2
-78,37,3
-93,42,3
-82,32,1
-108,39,2
-91,47,2
-91,46,3
-91,45,2
-74,34,6
-102,43,4
-124,40,3
-76,39,2
-76,38,2
-80,29,2
-80,28,2
-76,35,2
-76,34,3
-80,25,2
-76,36,2
-76,33,5
-124,46,4
-90,39,2
-90,38,2
-100,48,4
-100,45,4
-100,44,4
-100,47,4
-100,46,4
-100,41,3
-100,40,3
-100,43,4
-100,42,4
-78,41,2
-123,37,5
-123,36,4
-123,39,2
-123,38,3
-103,39,3
-103,38,2
-103,31,1
-103,30,3
-103,33,3
-103,32,3
-103,35,3
-103,34,4
-103,37,3
-103,36,3
-93,45,2
-93,44,3
-93,47,1
-124,48,3
-93,41,4
-93,40,2
-89,39,3
-89,38,3
-124,43,3
-124,42,4
-124,41,3
-91,44,2
-91,43,2
-91,42,3
-91,41,2
-91,40,1
-120,32,4
-120,33,5
-120,36,2
-120,37,2
-120,34,3
-120,35,2
-120,38,3
-120,39,3
-81,42,5
-81,40,2
-81,41,2
-80,40,2
-114,48,3
-114,49,2
-121,39,2
-121,38,2
-121,35,2
-121,34,4
-85,44,2
-121,36,3
-114,44,3
-85,43,1
-114,46,3
-85,41,2
-93,39,2
-90,28,4
-124,47,3
-120,47,3
-120,46,3
-120,45,3
-120,44,3
-120,43,2
-120,42,3
-120,41,3
-120,40,3
-120,49,2
-120,48,4
-84,34,2
-84,35,3
-84,36,2
-84,37,2
-84,30,1
-84,33,2
-85,33,3
-85,32,1
-85,31,1
-85,30,1
-84,38,2
-84,39,2
-85,35,2
-85,34,2
-94,44,3
-94,45,3
-94,46,2
-94,47,3
-94,40,3
-94,41,3
-94,42,4
-94,43,4
-94,48,3
-94,49,4
-113,38,3
-113,39,3
-114,32,3
-114,35,3
-113,32,2
-113,33,2
-113,34,2
-113,35,2
-113,36,3
-110,42,3
-115,42,3
-88,38,3
