lng,lat
-100,28
-100,29
-100,30
-100,31
-100,32
-100,33
-100,34
-100,35
-100,36
-100,37
-100,38
-100,39
-100,40
-100,41
-100,42
-100,43
-100,44
-100,45
-100,46
-100,47
-100,48
-101,29
-101,30
-101,31
-101,32
-101,33
-101,34
-101,35
-101,36
-101,37
-101,38
-101,39
-101,40
-101,41
-101,42
-101,43
-101,44
-101,45
-101,46
-101,47
-101,48
-102,30
-102,31
-102,32
-102,33
-102,34
-102,35
-102,36
-102,37
-102,38
-102,39
-102,40
-102,41
-102,42
-102,43
-102,44
-102,45
-102,46
-102,47
-102,48
-103,30
-103,31
-103,32
-103,33
-103,34
-103,35
-103,36
-103,37
-103,38
-103,39
-103,40
-103,41
-103,42
-103,43
-103,44
-103,45
-103,46
-103,47
-103,48
-104,29
-104,30
-104,31
-104,32
-104,33
-104,34
-104,35
-104,36
-104,37
-104,38
-104,39
-104,40
-104,41
-104,42
-104,43
-104,44
-104,45
-104,46
-104,47
-104,48
-105,30
-105,31
-105,32
-105,33
-105,34
-105,35
-105,36
-105,37
-105,38
-105,39
-105,40
-105,41
-105,42
-105,43
-105,44
-105,45
-105,46
-105,47
-105,48
-106,31
-106,32
-106,33
-106,34
-106,35
-106,36
-106,37
-106,38
-106,39
-106,40
-106,41
-106,42
-106,43
-106,44
-106,45
-106,46
-106,47
-106,48
-107,32
-107,33
-107,34
-107,35
-107,36
-107,37
-107,38
-107,39
-107,40
-107,41
-107,42
-107,43
-107,44
-107,45
-107,46
-107,47
-107,48
-108,32
-108,33
-108,34
-108,35
-108,36
-108,37
-108,38
-108,39
-108,40
-108,41
-108,42
-108,43
-108,44
-108,45
-108,46
-108,47
-108,48
-109,31
-109,32
-109,33
-109,34
-109,35
-109,36
-109,37
-109,38
-109,39
-109,40
-109,41
-109,42
-109,43
-109,44
-109,45
-109,46
-109,47
-109,48
-110,31
-110,32
-110,33
-110,34
-110,35
-110,36
-110,37
-110,38
-110,39
-110,40
-110,41
-110,42
-110,43
-110,44
-110,45
-110,46
-110,47
-110,48
-111,31
-111,32
-111,33
-111,34
-111,35
-111,36
-111,37
-111,38
-111,39
-111,40
-111,41
-111,42
-111,43
-111,44
-111,45
-111,46
-111,47
-111,48
-112,31
-112,32
-112,33
-112,34
-112,35
-112,36
-112,37
-112,38
-112,39
-112,40
-112,41
-112,42
-112,43
-112,44
-112,45
-112,46
-112,47
-112,48
-113,32
-113,33
-113,34
-113,35
-113,36
-113,37
-113,38
-113,39
-113,40
-113,41
-113,42
-113,43
-113,44
-113,45
-113,46
-113,47
-113,48
-114,32
-114,33
-114,34
-114,35
-114,36
-114,37
-114,38
-114,39
-114,40
-114,41
-114,42
-114,43
-114,44
-114,45
-114,46
-114,47
-114,48
-115,32
-115,33
-115,34
-115,35
-115,36
-115,37
-115,38
-115,39
-115,40
-115,41
-115,42
-115,43
-115,44
-115,45
-115,46
-115,47
-115,48
-116,33
-116,34
-116,35
-116,36
-116,37
-116,38
-116,39
-116,40
-116,41
-116,42
-116,43
-116,44
-116,45
-116,46
