"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLPRBUS","194913","11.973882","1","Coal Production","Quadrillion Btu"
"CLPRBUS","195013","14.060135","1","Coal Production","Quadrillion Btu"
"CLPRBUS","195113","14.419325","1","Coal Production","Quadrillion Btu"
"CLPRBUS","195213","12.734313","1","Coal Production","Quadrillion Btu"
"CLPRBUS","195313","12.277746","1","Coal Production","Quadrillion Btu"
"CLPRBUS","195413","10.542448","1","Coal Production","Quadrillion Btu"
"CLPRBUS","195513","12.369608","1","Coal Production","Quadrillion Btu"
"CLPRBUS","195613","13.306334","1","Coal Production","Quadrillion Btu"
"CLPRBUS","195713","13.061393","1","Coal Production","Quadrillion Btu"
"CLPRBUS","195813","10.783088","1","Coal Production","Quadrillion Btu"
"CLPRBUS","195913","10.777984","1","Coal Production","Quadrillion Btu"
"CLPRBUS","196013","10.817398","1","Coal Production","Quadrillion Btu"
"CLPRBUS","196113","10.447091","1","Coal Production","Quadrillion Btu"
"CLPRBUS","196213","10.90056","1","Coal Production","Quadrillion Btu"
"CLPRBUS","196313","11.849229","1","Coal Production","Quadrillion Btu"
"CLPRBUS","196413","12.523881","1","Coal Production","Quadrillion Btu"
"CLPRBUS","196513","13.055285","1","Coal Production","Quadrillion Btu"
"CLPRBUS","196613","13.467679","1","Coal Production","Quadrillion Btu"
"CLPRBUS","196713","13.825487","1","Coal Production","Quadrillion Btu"
"CLPRBUS","196813","13.608678","1","Coal Production","Quadrillion Btu"
"CLPRBUS","196913","13.863346","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197013","14.607064","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197113","13.185523","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197213","14.091685","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197301","1.166486","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197302","1.086072","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197303","1.196571","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197304","1.11223","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197305","1.216978","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197306","1.103861","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197307","1.034037","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197308","1.319832","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197309","1.142385","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197310","1.285586","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197311","1.178337","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197312","1.149749","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197313","13.992126","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197401","1.251148","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197402","1.16539","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197403","1.195337","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197404","1.268152","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197405","1.343967","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197406","1.120607","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197407","1.149793","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197408","1.209619","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197409","1.227477","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197410","1.41053","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197411","0.791646","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197412","0.940784","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197413","14.074451","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197501","1.275523","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197502","1.198498","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197503","1.216907","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197504","1.237491","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197505","1.292673","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197506","1.298947","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197507","1.062764","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197508","1.197399","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197509","1.295192","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197510","1.39571","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197511","1.248596","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197512","1.269616","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197513","14.989315","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197601","1.213441","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197602","1.239038","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197603","1.40428","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197604","1.363644","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197605","1.336766","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197606","1.377928","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197607","1.024087","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197608","1.239015","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197609","1.39756","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197610","1.357336","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197611","1.354684","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197612","1.345908","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197613","15.653687","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197701","1.018424","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197702","1.122619","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197703","1.519874","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197704","1.380722","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197705","1.423046","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197706","1.436582","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197707","1.131161","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197708","1.315823","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197709","1.581361","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197710","1.542177","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197711","1.570311","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197712","0.712642","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197713","15.754741","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197801","0.526477","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197802","0.538357","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197803","0.889942","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197804","1.357373","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197805","1.566637","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197806","1.493086","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197807","1.220436","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197808","1.464208","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197809","1.316859","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197810","1.594759","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197811","1.583079","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197812","1.358596","1","Coal Production","Quadrillion Btu"
