State,Urban Utility-scale PV (GWh),Urban Utility-scale PV (GW),Urban Utility-scale PV (km2),Rural Utility-scale PV (GWh),Rural Utility-scale PV (GW),Rural Utility-scale PV (km2),Rooftop PV (GWh),Rooftop PV (GW),CSP (GWh),CSP (GW),CSP (km2),Onshore Wind (GWh),Onshore Wind (GW),Onshore Wind (km2),Offshore Wind (GWh),Offshore Wind (GW),Offshore Wind (km2),Biopower-Solid (GWh),Biopower-Solid (GW),Biopower-Solid (BDT),Biopower-Gaseous (GWh),Biopower-Gaseous (GW),Biopower-Gaseous (Tonnes-CH4),Geothermal Hydrothermal (GWh),Geothermal Hydrothermal (GW),EGS Geothermal (GWh),EGS Geothermal (GW),Hydropower (GWh),Hydropower (GW),Hydropower (Count of Sites)
Alabama,"35,851",20,426,"3,706,839","2,115","44,058","15,476",13,0,0,0,283,0,24,0,0,0,"11,193",1,"10,175,869","1,533",0,"326,187",0,0,"535,490",68,"4,103",1,"2,435"
Alaska,166,0,2,"8,282,976","9,005","187,608",NA,1,0,0,0,"1,373,433",493,"98,669",NA,NA,NA,513,0,"466,797",62,0,"13,157","15,437",2,NA,NA,"23,676",5,"3,053"
Arizona,"121,306",53,"1,096","11,867,694","5,147","107,231","22,736",15,"12,544,334","3,528","107,239","26,036",11,"2,181",NA,NA,NA,"1,088",0,"988,705",837,0,"178,189","8,330",1,"1,239,148",157,"1,303",0,"1,958"
Arkansas,"28,961",16,332,"4,986,389","2,747","57,239","8,485",7,0,0,0,"22,892",9,"1,840",NA,NA,NA,"14,381",2,"13,074,040","1,063",0,"226,178",0,0,"628,622",80,"6,093",1,"3,268"
California,"246,008",111,"2,321","8,855,917","4,010","83,549","106,411",76,"8,490,916","2,726","82,860","89,862",34,"6,822","2,662,580",655,"130,967","12,408",2,"11,280,245","15,511",2,"3,300,211","130,921",17,"1,344,179",170,"30,024",7,"9,692"
Colorado,"43,471",19,399,"10,238,084","4,514","94,046","16,162",12,"9,154,524","3,098","94,173","1,096,036",387,"77,444",NA,NA,NA,"2,913",0,"2,648,462","1,224",0,"260,470","8,954",1,"1,251,658",159,"7,789",2,"5,060"
Connecticut,"7,717",5,101,"19,628",12,256,"6,616",6,0,0,0,62,0,5,"26,545",7,"1,434",495,0,"449,775",415,0,"88,227",0,0,"56,078",7,922,0,659
Delaware,"14,856",9,190,"272,333",167,"3,483","2,185",2,0,0,0,22,0,2,"60,654",15,"3,008",512,0,"465,802",385,0,"82,014",0,0,"22,813",3,31,0,25
District of Columbia,8,0,0,0,0,0,"2,490",2,0,0,0,0,0,0,NA,NA,NA,62,0,"56,180",5,0,978,0,0,698,0,1,0,2
Florida,"72,787",40,830,"5,137,347","2,813","58,597","63,987",49,359,0,4,1,0,0,"34,684",10,"1,930","9,664",1,"8,785,824","3,693",0,"785,788",0,0,"374,161",47,682,0,493
