Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,-0.0084
188002,-0.1315
188003,-0.1450
188004,-0.0612
188005,-0.0844
188006,-0.1780
188007,-0.1598
188008,-0.0844
188009,-0.0921
188010,-0.1886
188011,-0.2766
188012,-0.0868
188101,-0.0267
188102,-0.0377
188103,0.0255
188104,0.0680
188105,0.0229
188106,-0.0987
188107,-0.0441
188108,-0.0623
188109,-0.1892
188110,-0.2279
188111,-0.2272
188112,-0.0505
188201,0.0852
188202,0.0329
188203,0.0687
188204,-0.1311
188205,-0.1518
188206,-0.1465
188207,-0.0732
188208,-0.0103
188209,-0.0009
188210,-0.2139
188211,-0.1340
188212,-0.1771
188301,-0.2749
188302,-0.2987
188303,-0.1376
188304,-0.1790
188305,-0.1483
188306,-0.0116
188307,-0.0902
188308,-0.0578
188309,-0.1532
188310,-0.1690
188311,-0.1764
188312,-0.0802
188401,-0.1921
188402,-0.1519
188403,-0.2136
188404,-0.1894
188405,-0.1354
188406,-0.2038
188407,-0.3100
188408,-0.2798
188409,-0.2339
188410,-0.1783
188411,-0.2779
188412,-0.1528
188501,-0.4370
188502,-0.2660
188503,-0.1562
188504,-0.2649
188505,-0.2897
188506,-0.3159
188507,-0.2481
188508,-0.2502
188509,-0.2071
188510,-0.1369
188511,-0.1353
188512,0.0428
188601,-0.1242
188602,-0.2888
188603,-0.2921
188604,-0.1773
188605,-0.1662
188606,-0.2572
188607,-0.1723
188608,-0.2235
188609,-0.2051
188610,-0.2356
188611,-0.2061
188612,-0.1729
188701,-0.3884
188702,-0.3819
188703,-0.1715
188704,-0.1972
188705,-0.2455
188706,-0.2226
188707,-0.2777
188708,-0.3231
188709,-0.1888
188710,-0.3065
188711,-0.1634
188712,-0.2040
188801,-0.3905
188802,-0.3368
188803,-0.3045
188804,-0.1821
188805,-0.1617
188806,-0.1015
188807,-0.1222
188808,-0.1676
188809,-0.0780
188810,0.0114
188811,-0.0503
188812,0.0352
188901,-0.0993
188902,0.0073
188903,0.1145
188904,0.0468
188905,-0.0349
188906,-0.0780
188907,-0.1663
188908,-0.1434
188909,-0.2296
188910,-0.1957
188911,-0.2810
188912,-0.1788
189001,-0.3634
189002,-0.4311
189003,-0.3212
189004,-0.2585
189005,-0.3882
189006,-0.2874
189007,-0.2799
189008,-0.3250
189009,-0.3527
189010,-0.2957
189011,-0.3434
189012,-0.2325
189101,-0.3853
189102,-0.5264
189103,-0.2120
189104,-0.2531
189105,-0.1381
189106,-0.2036
189107,-0.2282
189108,-0.2308
189109,-0.1522
189110,-0.2882
189111,-0.3984
189112,-0.0459
189201,-0.2421
189202,-0.1382
189203,-0.3024
189204,-0.3206
189205,-0.3069
189206,-0.2848
189207,-0.3501
189208,-0.3300
189209,-0.2219
189210,-0.2482
189211,-0.4735
189212,-0.4764
189301,-0.6804
189302,-0.6118
189303,-0.2246
189304,-0.3526
189305,-0.3424
189306,-0.2391
189307,-0.1999
189308,-0.3290
189309,-0.2603
189310,-0.2117
189311,-0.1649
189312,-0.2489
189401,-0.4385
189402,-0.2249
189403,-0.2087
189404,-0.3039
