# Data: Camden council / Travelfootprint.org / Clear Zone Partnership
id,Mode,Detail,Occupancy,Comment,co2_gkm,co2_gpkm,nox_gpkm,pms_gpkm,lc_co2_gpkm,lc_nox_gpkm,lc_pms_gpkm,aq,ghg,env_rating
1,WALK,Average diet including imported food,Walker only - no passenger!,Emissions impacts are due to agricultural activities (including fertiliser input); food processing and international (air and surface) transport. ,0,0,0,0,24.15,0.04,0.00,3.55,6.67,5.41
2,WALK,UK grown low-processed food,Walker only - no passenger!,Emissions impacts are due to agricultural activities (including fertiliser input); food processing and UK (surface) transport. ,0,0,0,0,9.66,0.02,0.00,1.42,2.67,2.16
5,WALK,Local organically produced food only,Walker only - no passenger!,Emissions impacts are due to agricultural activities low-level processing and local transport. ,0,0,0,0,4.83,0.01,0.00,0.71,1.33,1.08
3,CYCLE,Average diet including imported food,Cyclist only - no passenger!,Emissions impacts are due to agricultural activities (including fertiliser input); food processing and international (air and surface) transport. ,0,0,0,0,18.40,0.03,0.01,3.38,5.08,4.39
4,CYCLE,UK grown low-processed food,Cyclist only - no passenger!,Emissions impacts are due to agricultural activities (including fertiliser input); food processing and UK (surface) transport. ,0,0,0,0,10.27,0.02,0.00,2.19,2.83,2.57
6,CYCLE,Local organically produced food only,Cyclist only - no passenger!,Emissions impacts are due to agricultural activities low-level processing and local transport. ,0,0,0,0,7.56,0.01,0.00,1.79,2.08,1.96
7,M/CYCLE,2-Stroke <50cc,Driver only,Motorcycle emissions data shown are calculated over World Motorcycle Test Cycle. ,39,39,0.26,0.04,47.90,0.29,0.04,77.71,12.85,39.06
8,M/CYCLE,2-Stroke <50cc,Driver plus pillion,Motorcycle emissions data shown are calculated over World Motorcycle Test Cycle. ,39,19.5,0.13,0.02,23.95,0.14,0.02,38.86,6.43,19.53
9,M/CYCLE,2-Stroke 50-125cc,Driver only,Motorcycle emissions data shown are calculated over World Motorcycle Test Cycle. ,51,51,0.2,0.012,62.30,0.24,0.01,34.46,16.71,23.88
10,M/CYCLE,2-Stroke 50-125cc,Driver plus pillion,Motorcycle emissions data shown are calculated over World Motorcycle Test Cycle. ,51,25.5,0.1,0.006,31.15,0.12,0.01,17.23,8.35,11.94
11,M/CYCLE,4-Stroke <250cc,Driver only,Motorcycle emissions data shown are calculated over World Motorcycle Test Cycle. ,73,73,0.13,0.005,88.30,0.18,0.01,26.61,23.67,24.86
12,M/CYCLE,4-Stroke <250cc,Driver plus pillion,Motorcycle emissions data shown are calculated over World Motorcycle Test Cycle. ,73,36.5,0.065,0.0025,44.15,0.09,0.00,13.31,11.84,12.43
13,M/CYCLE,4-Stroke 250-750cc,Driver only,Motorcycle emissions data shown are calculated over World Motorcycle Test Cycle. ,100,100,0.13,0.005,120.70,0.20,0.01,29.64,32.35,31.26
14,M/CYCLE,4-Stroke 250-750cc,Driver plus pillion,Motorcycle emissions data shown are calculated over World Motorcycle Test Cycle. ,100,50,0.065,0.0025,60.35,0.10,0.01,14.82,16.18,15.63
15,M/CYCLE,4-Stroke >750cc,Driver only,Motorcycle emissions data shown are calculated over World Motorcycle Test Cycle. ,159,159,0.13,0.005,190.33,0.23,0.01,35.78,51.00,44.85
16,M/CYCLE,4-Stroke >750cc,Driver plus pillion,Motorcycle emissions data shown are calculated over World Motorcycle Test Cycle. ,159,79.5,0.065,0.0025,95.16,0.12,0.01,17.89,25.50,22.43
17,M/CYCLE,Electric scooter (std tariff),Driver only,Electric scooter shown has performance equivalent to a 400cc 4-stroke motorcycle. ,0,0,0,0,30.98,0.06,0.00,9.07,8.61,8.80
18,M/CYCLE,Electric scooter (std tariff),Driver plus pillion,Electric scooter shown has performance equivalent to a 400cc 4-stroke motorcycle. ,0,0,0,0,15.49,0.03,0.00,4.54,4.31,4.40
19,M/CYCLE,Electric scooter (green tariff),Driver only,Electric scooter shown has performance equivalent to a 400cc 4-stroke motorcycle. ,0,0,0,0,7.44,0.01,0.00,5.10,2.03,3.27
20,M/CYCLE,Electric scooter (green tariff),Driver plus pillion,Electric scooter shown has performance equivalent to a 400cc 4-stroke motorcycle. ,0,0,0,0,3.72,0.01,0.00,2.55,1.02,1.64
21,BUS,Diesel (from 2006): Urban use,100% occupancy (all seats full),Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,892,25.4857,0.135429,0.00125714,31.28,0.15,0.00,6.33,8.38,7.56
22,BUS,Diesel (from 2006): Urban use,75% occupancy,Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,892,33.9164,0.180228,0.001673,41.63,0.20,0.00,8.43,11.16,10.05
23,BUS,Diesel (from 2006): Urban use,50% occupancy,Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,892,50.9714,0.270857,0.00251429,62.56,0.30,0.00,12.66,16.77,15.11
24,BUS,Diesel (from 2006): Urban use,25% occupancy,Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,655,74.4318,0.797614,0.0225,92.27,0.84,0.02,47.78,24.74,34.05
25,BUS,Diesel (from 2006): Rural use,100% occupancy (all seats full),Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,597,17.0571,0.0771429,0.000514286,21.22,0.09,0.00,3.60,5.69,4.85
26,BUS,Diesel (from 2006): Rural use,75% occupancy,Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,597,22.6996,0.102662,0.000684411,28.24,0.12,0.00,4.79,7.57,6.45
27,BUS,Diesel (from 2006): Rural use,50% occupancy,Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,597,34.1143,0.154286,0.00102857,42.44,0.18,0.00,7.20,11.38,9.69
28,BUS,Diesel (from 2006): Rural use,25% occupancy,Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,643,73.0682,0.842045,0.0244318,90.67,0.89,0.03,50.76,24.31,35.00
29,BUS,Diesel (from 2006): Motorway use,100% occupancy (all seats full),Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,654,18.6857,0.0805714,0.000514286,23.17,0.09,0.00,3.78,6.21,5.23
30,BUS,Diesel (from 2006): Motorway use,75% occupancy,Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,654,24.8669,0.107224,0.000684411,30.83,0.12,0.00,5.02,8.27,6.96
31,BUS,Diesel (from 2006): Motorway use,50% occupancy,Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,654,37.3714,0.161143,0.00102857,46.34,0.18,0.00,7.55,12.43,10.46
32,BUS,Diesel (from 2006): Motorway use,25% occupancy,Buses registered from Oct 2006 onwards conform to the latest Euro IV emissions standards. ,631,71.7045,0.886364,0.0264773,89.02,0.93,0.03,53.85,23.87,35.98
