Table 4-20:  Energy Intensity of Passenger Modes (Btu per passenger-mile),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014,,
"Air, certificated carrier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic operations,"8,633","10,118","10,185","8,532","6,029","4,950","4,767","4,536","4,413","4,457","4,345","4,282","4,096","4,091","3,881","4,009","3,892","3,848","3,608","3,493","3,408","3,232","3,142","3,040","2,936","2,774","2,691","2,588","2,428","2,366","2,329",,
International operations,"9,199","10,292","10,986","7,547","4,374","4,586","4,207","4,192","3,963","3,861","3,916","3,932","3,893","3,955","3,854","3,952","3,857","4,039","3,984","4,180","3,890","3,817","3,665","3,572","3,473","3,384","3,338","3,519","3,484","3,392","3,260",,
Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, short wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"3,368","3,344","3,823","(R) 3,854","3,885","3,864","3,843","3,877",,
"Passenger carsa,d","4,496","4,456","4,842","4,742","4,348","4,268","3,812","3,654","3,704","3,787","3,771","3,721","3,702","3,657","3,637","3,672","2,939","2,929","2,933","2,911","2,864","2,922","2,898",N,N,N,N,N,N,N,N,,
"Motorcycleb,c",U,U,"2,289","2,281","2,080","1,926","1,922","1,973","1,999","2,031","2,068","2,273","2,273","2,273","2,273","2,273","1,693","1,708","1,683","1,656","1,331","1,351","1,136","2,185","2,315","(R) 2,688","(R) 2,675","(R) 2,669","2,665","2,665","2,665",,
"Light duty vehicle, long wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"4,537","4,159","5,411","(R) 5,447","5,472","5,465","5,453","5,472",,
"Other 2-axle 4-tire vehiclesa,d",U,U,"6,822","6,566","5,712","4,971","4,452","4,277","4,258","4,275","4,344","4,538","4,559","4,564","4,569","4,612","7,769","7,533","7,664","8,292","8,029","7,303","6,917",N,N,N,N,N,N,N,N,,
"Truck, single-unit 2-axle 6-tire or morec",U,U,"18,315","19,578","21,736","20,353","20,127","19,311","19,112","18,689","18,422","18,372","18,356","17,894","17,901","16,663","11,896","11,679","12,021","9,848","10,067","10,823","9,987","16,997","16,893","16,901","17,051","17,118","17,017","17,008","17,033",,
"Truck, combination",U,"26,283","26,143","24,551","23,728","22,426","21,376","21,741","21,626","21,515","21,404","21,413","21,229","20,369","24,500","23,169","19,897","18,873","19,677","17,154","17,483","19,763","19,813","20,972","20,781","20,858","21,265","21,507","21,375","21,369","21,431",,
Bus,U,U,U,U,U,"1,098",922,886,896,894,887,889,889,885,875,884,443,466,442,427,593,502,482,821,818,814,822,828,823,823,823,,
